cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3582272.nxml
surname | Douville
given-names | Christopher
surname | Carter
given-names | Hannah
surname | Kim
given-names | Rick
surname | Niknafs
given-names | Noushin
surname | Diekhans
given-names | Mark
surname | Stenson
given-names | Peter D.
surname | Cooper
given-names | David N.
surname | Ryan
given-names | Michael
surname | Karchin
given-names | Rachel
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3597142.nxml
surname | Becker
given-names | Jeremie
surname | Yau
given-names | Christopher
surname | Hancock
given-names | John M.
surname | Holmes
given-names | Christopher C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3597144.nxml
surname | Thieme
given-names | Sebastian
surname | Groth
given-names | Philip
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3624798.nxml
surname | Shrestha
given-names | Anish Man Singh
surname | Frith
given-names | Martin C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3654710.nxml
surname | Robbins
given-names | David E.
surname | Grüneberg
given-names | Alexander
surname | Deus
given-names | Helena F.
surname | Tanik
given-names | Murat M.
surname | Almeida
given-names | Jonas S.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3654712.nxml
surname | Pagni
given-names | Marco
surname | Niculita-Hirzel
given-names | Hélène
surname | Pellissier
given-names | Loïc
surname | Dubuis
given-names | Anne
surname | Xenarios
given-names | Ioannis
surname | Guisan
given-names | Antoine
surname | Sanders
given-names | Ian R.
surname | Goudet
given-names | Jérôme
surname | Guex
given-names | Nicolas
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3658457.nxml
surname | Wu
given-names | George
surname | Yustein
given-names | Jason T.
surname | McCall
given-names | Matthew N.
surname | Zilliox
given-names | Michael
surname | Irizarry
given-names | Rafael A.
surname | Zeller
given-names | Karen
surname | Dang
given-names | Chi V.
surname | Ji
given-names | Hongkai
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3694636.nxml
surname | Sedgewick
given-names | Andrew J.
surname | Benz
given-names | Stephen C.
surname | Rabizadeh
given-names | Shahrooz
surname | Soon-Shiong
given-names | Patrick
surname | Vaske
given-names | Charles J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3694642.nxml
surname | Rubio-Camarillo
given-names | Miriam
surname | Gómez-López
given-names | Gonzalo
surname | Fernández
given-names | José M.
surname | Valencia
given-names | Alfonso
surname | Pisano
given-names | David G.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3694650.nxml
surname | Mordelet
given-names | Fantine
surname | Horton
given-names | John
surname | Hartemink
given-names | Alexander J.
surname | Engelhardt
given-names | Barbara E.
surname | Gordân
given-names | Raluca
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3694655.nxml
surname | Le
given-names | Hai-Son
surname | Bar-Joseph
given-names | Ziv
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3694680.nxml
surname | Hafez
given-names | Dina
surname | Ni
given-names | Ting
surname | Mukherjee
given-names | Sayan
surname | Zhu
given-names | Jun
surname | Ohler
given-names | Uwe
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3702249.nxml
surname | Magoc
given-names | Tanja
surname | Pabinger
given-names | Stephan
surname | Canzar
given-names | Stefan
surname | Liu
given-names | Xinyue
surname | Su
given-names | Qi
surname | Puiu
given-names | Daniela
surname | Tallon
given-names | Luke J.
surname | Salzberg
given-names | Steven L.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3712217.nxml
surname | Yost
given-names | Shawn E.
surname | Alakus
given-names | Hakan
surname | Matsui
given-names | Hiroko
surname | Schwab
given-names | Richard B.
surname | Jepsen
given-names | Kristen
surname | Frazer
given-names | Kelly A.
surname | Harismendy
given-names | Olivier
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3753564.nxml
surname | Roberts
given-names | Nicola D.
surname | Kortschak
given-names | R. Daniel
surname | Parker
given-names | Wendy T.
surname | Schreiber
given-names | Andreas W.
surname | Branford
given-names | Susan
surname | Scott
given-names | Hamish S.
surname | Glonek
given-names | Garique
surname | Adelson
given-names | David L.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3753567.nxml
surname | Ames
given-names | Sasha K.
surname | Hysom
given-names | David A.
surname | Gardner
given-names | Shea N.
surname | Lloyd
given-names | G. Scott
surname | Gokhale
given-names | Maya B.
surname | Allen
given-names | Jonathan E.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3753571.nxml
surname | LeGault
given-names | Laura H.
surname | Dewey
given-names | Colin N.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3834796.nxml
surname | Lee
given-names | Young-suk
surname | Krishnan
given-names | Arjun
surname | Zhu
given-names | Qian
surname | Troyanskaya
given-names | Olga G.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3842753.nxml
surname | Wang
given-names | Xiaojing
surname | Zhang
given-names | Bing
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3842754.nxml
surname | Purdom
given-names | Elizabeth
surname | Ho
given-names | Christine
surname | Grasso
given-names | Catherine S.
surname | Quist
given-names | Michael J.
surname | Cho
given-names | Raymond J.
surname | Spellman
given-names | Paul
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3866558.nxml
surname | Andor
given-names | Noemi
surname | Harness
given-names | Julie V.
surname | Müller
given-names | Sabine
surname | Mewes
given-names | Hans W.
surname | Petritsch
given-names | Claudia
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3928519.nxml
surname | Leggett
given-names | Richard M.
surname | Clavijo
given-names | Bernardo J.
surname | Clissold
given-names | Leah
surname | Clark
given-names | Matthew D.
surname | Caccamo
given-names | Mario
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3928520.nxml
surname | Krämer
given-names | Andreas
surname | Green
given-names | Jeff
surname | Pollard
given-names | Jack
suffix | Jr
surname | Tugendreich
given-names | Stuart
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3998131.nxml
surname | Assefa
given-names | Samuel A.
surname | Preston
given-names | Mark D.
surname | Campino
given-names | Susana
surname | Ocholla
given-names | Harold
surname | Sutherland
given-names | Colin J.
surname | Clark
given-names | Taane G.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3998141.nxml
surname | Simpson
given-names | Jared T.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4016701.nxml
surname | Bollen
given-names | Sander
surname | Leddin
given-names | Mathias
surname | Andrade-Navarro
given-names | Miguel A.
surname | Mah
given-names | Nancy
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4016702.nxml
surname | Houseman
given-names | Eugene Andres
surname | Molitor
given-names | John
surname | Marsit
given-names | Carmen J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058914.nxml
surname | Studham
given-names | Matthew E.
surname | Tjärnberg
given-names | Andreas
surname | Nordling
given-names | Torbjörn E.M.
surname | Nelander
given-names | Sven
surname | Sonnhammer
given-names | Erik L. L.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058921.nxml
surname | Prjibelski
given-names | Andrey D.
surname | Vasilinetc
given-names | Irina
surname | Bankevich
given-names | Anton
surname | Gurevich
given-names | Alexey
surname | Krivosheeva
given-names | Tatiana
surname | Nurk
given-names | Sergey
surname | Pham
given-names | Son
surname | Korobeynikov
given-names | Anton
surname | Lapidus
given-names | Alla
surname | Pevzner
given-names | Pavel A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058931.nxml
surname | Santamaría
given-names | Rodrigo
surname | Therón
given-names | Roberto
surname | Quintales
given-names | Luis
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058933.nxml
surname | Huang
given-names | Lei
surname | Li
given-names | Fuhai
surname | Sheng
given-names | Jianting
surname | Xia
given-names | Xiaofeng
surname | Ma
given-names | Jinwen
surname | Zhan
given-names | Ming
surname | Wong
given-names | Stephen T.C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058945.nxml
surname | Zarringhalam
given-names | Kourosh
surname | Enayetallah
given-names | Ahmed
surname | Reddy
given-names | Padmalatha
surname | Ziemek
given-names | Daniel
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058947.nxml
surname | Eng
given-names | Kevin H.
surname | Hanlon
given-names | Bret M.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058951.nxml
surname | Wu
given-names | Hsin-Ta
surname | Hajirasouliha
given-names | Iman
surname | Raphael
given-names | Benjamin J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4058956.nxml
surname | Bao
given-names | Ergude
surname | Jiang
given-names | Tao
surname | Girke
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4080742.nxml
surname | Aksoy
given-names | Bülent Arman
surname | Demir
given-names | Emek
surname | Babur
given-names | Özgün
surname | Wang
given-names | Weiqing
surname | Jing
given-names | Xiaohong
surname | Schultz
given-names | Nikolaus
surname | Sander
given-names | Chris
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4103590.nxml
surname | Bolger
given-names | Anthony M.
surname | Lohse
given-names | Marc
surname | Usadel
given-names | Bjoern
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4103591.nxml
surname | Leung
given-names | Alvin
surname | Bader
given-names | Gary D.
surname | Reimand
given-names | Jüri
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147885.nxml
surname | Faust
given-names | Gregory G.
surname | Hall
given-names | Ira M.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147886.nxml
surname | Bernard
given-names | Elsa
surname | Jacob
given-names | Laurent
surname | Mairal
given-names | Julien
surname | Vert
given-names | Jean-Philippe
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147892.nxml
surname | Hauswedell
given-names | Hannes
surname | Singer
given-names | Jochen
surname | Reinert
given-names | Knut
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147902.nxml
surname | Ahn
given-names | TaeJin
surname | Lee
given-names | Eunjin
surname | Huh
given-names | Nam
surname | Park
given-names | Taesung
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147907.nxml
surname | Kim
given-names | Yongsoo
surname | Jang
given-names | Jin-Hyeok
surname | Choi
given-names | Seungjin
surname | Hwang
given-names | Daehee
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147919.nxml
surname | Tian
given-names | Rui
surname | Basu
given-names | Malay K.
surname | Capriotti
given-names | Emidio
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147920.nxml
surname | Schroeder
given-names | Michael P.
surname | Rubio-Perez
given-names | Carlota
surname | Tamborero
given-names | David
surname | Gonzalez-Perez
given-names | Abel
surname | Lopez-Bigas
given-names | Nuria
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147926.nxml
surname | Gobbi
given-names | Andrea
surname | Iorio
given-names | Francesco
surname | Dawson
given-names | Kevin J.
surname | Wedge
given-names | David C.
surname | Tamborero
given-names | David
surname | Alexandrov
given-names | Ludmil B.
surname | Lopez-Bigas
given-names | Nuria
surname | Garnett
given-names | Mathew J.
surname | Jurman
given-names | Giuseppe
surname | Saez-Rodriguez
given-names | Julio
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4147928.nxml
surname | Kratsch
given-names | Christina
surname | McHardy
given-names | Alice C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4155246.nxml
surname | Nueda
given-names | María José
surname | Tarazona
given-names | Sonia
surname | Conesa
given-names | Ana
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4173014.nxml
surname | Mose
given-names | Lisle E.
surname | Wilkerson
given-names | Matthew D.
surname | Hayes
given-names | D. Neil
surname | Perou
given-names | Charles M.
surname | Parker
given-names | Joel S.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4173023.nxml
surname | Bonfield
given-names | James K.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4173024.nxml
surname | Utturkar
given-names | Sagar M.
surname | Klingeman
given-names | Dawn M.
surname | Land
given-names | Miriam L.
surname | Schadt
given-names | Christopher W.
surname | Doktycz
given-names | Mitchel J.
surname | Pelletier
given-names | Dale A.
surname | Brown
given-names | Steven D.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4253827.nxml
surname | Rizk
given-names | Guillaume
surname | Gouin
given-names | Anaïs
surname | Chikhi
given-names | Rayan
surname | Lemaitre
given-names | Claire
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4287953.nxml
surname | Ahn
given-names | Tae-Hyuk
surname | Chai
given-names | Juanjuan
surname | Pan
given-names | Chongle
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4325541.nxml
surname | Han
given-names | Bo W.
surname | Wang
given-names | Wei
surname | Zamore
given-names | Phillip D.
surname | Weng
given-names | Zhiping
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4341063.nxml
surname | Younsi
given-names | Reda
surname | MacLean
given-names | Dan
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4380032.nxml
surname | Mayo
given-names | Tom R.
surname | Schweikert
given-names | Gabriele
surname | Sanguinetti
given-names | Guido
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4393510.nxml
surname | Lindberg
given-names | Michael R.
surname | Hall
given-names | Ira M.
surname | Quinlan
given-names | Aaron R.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4393511.nxml
surname | Arnold
given-names | Matthias
surname | Raffler
given-names | Johannes
surname | Pfeufer
given-names | Arne
surname | Suhre
given-names | Karsten
surname | Kastenmüller
given-names | Gabi
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4393512.nxml
surname | Suzuki
given-names | Shuji
surname | Kakuta
given-names | Masanori
surname | Ishida
given-names | Takashi
surname | Akiyama
given-names | Yutaka
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4410657.nxml
surname | Zhu
given-names | Jing
surname | Shi
given-names | Zhiao
surname | Wang
given-names | Jing
surname | Zhang
given-names | Bing
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4410661.nxml
surname | Meinicke
given-names | Peter
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4426832.nxml
surname | Korthauer
given-names | Keegan D.
surname | Kendziorski
given-names | Christina
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4426835.nxml
surname | Aibar
given-names | Sara
surname | Fontanillo
given-names | Celia
surname | Droste
given-names | Conrad
surname | De Las Rivas
given-names | Javier
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4426840.nxml
surname | Dowst
given-names | Heidi
surname | Pew
given-names | Benjamin
surname | Watkins
given-names | Chris
surname | McOwiti
given-names | Apollo
surname | Barney
given-names | Jonathan
surname | Qu
given-names | Shijing
surname | Becnel
given-names | Lauren B.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4426842.nxml
surname | Ikebata
given-names | Hisaki
surname | Yoshida
given-names | Ryo
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4441069.nxml
surname | Szolek
given-names | András
surname | Schubert
given-names | Benjamin
surname | Mohr
given-names | Christopher
surname | Sturm
given-names | Marc
surname | Feldhahn
given-names | Magdalena
surname | Kohlbacher
given-names | Oliver
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4443673.nxml
surname | Gevaert
given-names | Olivier
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4443678.nxml
surname | Zhbannikov
given-names | Ilya Y.
surname | Foster
given-names | James A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4481695.nxml
surname | Kingsford
given-names | Carl
surname | Patro
given-names | Rob
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4528629.nxml
surname | Sill
given-names | Martin
surname | Saadati
given-names | Maral
surname | Benner
given-names | Axel
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4542783.nxml
surname | El-Kebir
given-names | Mohammed
surname | Oesper
given-names | Layla
surname | Acheson-Field
given-names | Hannah
surname | Raphael
given-names | Benjamin J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4542784.nxml
surname | Muggli
given-names | Martin D.
surname | Puglisi
given-names | Simon J.
surname | Ronen
given-names | Roy
surname | Boucher
given-names | Christina
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4547610.nxml
surname | Patro
given-names | Rob
surname | Kingsford
given-names | Carl
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4547619.nxml
surname | Newman
given-names | Scott
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4565029.nxml
surname | Nicolle
given-names | Rémy
surname | Radvanyi
given-names | François
surname | Elati
given-names | Mohamed
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC4595897.nxml
surname | Liu
given-names | Wenzhong
surname | Xie
given-names | Yubin
surname | Ma
given-names | Jiyong
surname | Luo
given-names | Xiaotong
surname | Nie
given-names | Peng
surname | Zuo
given-names | Zhixiang
surname | Lahrmann
given-names | Urs
surname | Zhao
